,Star_name,Distance,Mass,Radius,gravity
390,WISE 1542+2230,41.1,,,
391,WISE 1612-3420,55.4,,,
392,WISE 1614+1739,32.6,,,
393,WISE 1617+1807,50.2,,,
394,WISE 1622-0959,52.2,,,
395,WISE 1627+3255,50.2,,,
396,WISE 1639-6847,16.3,,,
397,WISE 1647+5632,28,,,
398,WISE 1653+4444,39.5,,,
399,WISE 1711+3500,60.3,,,
400,WISE 1717+6129,72.7,,,
401,WISE 1721+1117,62.3,,,
402,WISE 1728+5716,97.8,,,
403,WISE 1738+2732,20,,,
404,WISE 1741+2553,18.9,,,
405,WISE 1746-0338,83.8,,,
406,WISE 1800+0134,28.7,57,,
407,WISE 1804+3117,30,,,
408,WISE 1809+3838,74.4,,,
409,WISE 1812+2721,47,,,
410,WISE 1828+2650,36,,,
411,WISE 1830+4542,107,,,
412,WISE 1841+7000,131.1,,,
413,WISE 1852+3537,55.4,,,
414,WISE 1906+4508,51.5,,,
415,WISE 1928+2356,22.8,,,
416,WISE 1952+7240,44.4,,,
417,WISE 1959-3338,37.2,,,
418,WISE 2030+0749,34.2,,,
419,WISE 2014+0424,96.2,,,
420,WISE 2015+6646,50.6,,,
421,WISE 2018-7423,47.9,,,
422,WISE 2019-1148,42.4,,,
423,WISE 2056+1459,24.5,,,
424,WISE 2134-7137,42.7,,,
425,WISE 2157+2659,61.6,,,
426,WISE 2209-2734,46,,,
427,WISE 2213+0911,58.7,,,
428,WISE 2220-3628,26.4,,,
429,WISE 2226+0440,45,,,
430,WISE 2237-0614,53.5,,,
431,WISE 2237+7228,46,,,
432,WISE 2239+1617,59.7,,,
433,WISE 2255-3118,44.7,,,
434,WISE 2301+0216,60.7,,,
435,WISE 2313-8037,35.9,,,
436,WISE 2319-1844,52.2,,,
437,WISE 2325-4105,37.5,,,
438,WISE 2327-2730,70.8,,,
439,WISE 2335+4222,90.3,,,
440,WISE 2340-0745,37.8,,,
441,WISE 2342+0856,51.2,,,
442,WISE 2343-7418,48.6,,,
443,WISE 2344+1034,46,,,
444,WISE 2348-1028,54.1,,,
445,WISE 2357+1227,54.8,,,
446,WISE 2359-7335,42.7,,,
447,WISEA 1101+5400,111,,,
448,2M1510,120,40 + 39 + ?,,0.0
